The best way to get good advice is to ask for it.,advice
"Don't be afraid to ask for help when you need it.",advice
"The greatest glory in living lies not in never falling, but in rising every time we fall.",advice
"You can't go back and change the beginning, but you can start where you are and change the ending.",advice
"The best way to predict your future is to create it.",advice
"Experience is the best teacher.",advice
"Learn from your mistakes.",advice
"Don't be too proud to ask for help.",advice
"The best advice is to take it one step at a time.",advice
"Trust your instincts.",advice
"Listen to your heart.",advice
"Don't be afraid to take risks.",advice
"The greatest risk is not taking any risk.",advice
"Believe in yourself.",advice
"Your intuition is your best guide.",advice
"Anxiety is the dizziness of freedom.",anxiety
"The best way to get started is to quit talking and begin doing.",anxiety
"You can't go back and change the beginning, but you can start where you are and change the ending.",anxiety
"The greatest wealth is health.",anxiety
"Life is a journey, not a destination.",anxiety
"The biggest adventure you can take is to live the life of your dreams.",anxiety
"You are not a product of your circumstances. You are a product of your decisions.",anxiety
"The best way to predict your future is to create it.",anxiety
"You don't have to be great to start, but you have to start to be great.",anxiety
"Life is a series of natural and spontaneous changes. Don't resist them; that only creates sorrow. Let reality be reality. Let things flow naturally forward in whatever way they like.",anxiety
"Clarity is the most important thing. I can compare clarity to pruning in gardening. You know, you need to prune the plant to make it healthy and strong.",clarification
"The biggest risk is not taking any risk.",clarification
"The best way to get good ideas is to get a lot of ideas.",clarification
"The biggest adventure you can take is to live the life of your dreams.",clarification
"You can't go back and change the beginning, but you can start where you are and change the ending.",clarification
"The greatest wealth is health.",clarification
"Life is a journey, not a destination.",clarification
"You are not a product of your circumstances. You are a product of your decisions.",clarification
"The best way to predict your future is to create it.",clarification
"You don't have to be great to start, but you have to start to be great.",clarification
"Depression is like a war. You either win or die trying.",depression
"The best way to get started is to quit talking and begin doing.",depression
"You can't go back and change the beginning, but you can start where you are and change the ending.",depression
"The greatest wealth is health.",depression
"Life is a journey, not a destination.",depression
"The biggest adventure you can take is to live the life of your dreams.",depression
"You are not a product of your circumstances. You are a product of your decisions.",depression
"The best way to predict your future is to create it.",depression
"You don't have to be great to start, but you have to start to be great.",depression
"Life is a series of natural and spontaneous changes. Don't resist them; that only creates sorrow. Let reality be reality. Let things flow naturally forward in whatever way they like.",depression
"Sometimes when you think you are done, you realize you are just getting started.",distraction
"The best way to get started is to quit talking and begin doing.",distraction
"You can't go back and change the beginning, but you can start where you are and change the ending.",distraction
"The greatest wealth is health.",distraction
"Life is a journey, not a destination.",distraction
"The biggest adventure you can take is to live the life of your dreams.",distraction
"You are not a product of your circumstances. You are a product of your decisions.",distraction
"The best way to predict your future is to create it.",distraction
"You don't have to be great to start, but you have to start to be great.",distraction
"Life is a series of natural and spontaneous changes. Don't resist them; that only creates sorrow. Let reality be reality . Let things flow naturally forward in whatever way they like.",distraction
"I'm not a therapist, but I can listen.",empathy
"I'm here to listen.",empathy
"You are not alone.",empathy
"I care about you.",empathy
"I'm here for you.",empathy
"I'm here to support you.",empathy
"You are strong.",empathy
"You are capable.",empathy
"You are strong and capable.",empathy
"I believe in you.",empathy
"You are doing the best you can.",empathy
"That takes a lot of courage.",empathy
"I'm proud of you.",empathy
"You are loved.",empathy
"You are more than your pain.",empathy
"You are enough.",empathy
"You are worthy.",empathy
"You are deserving of love and respect.",empathy
"You are not defined by your struggles.",empathy
"You got this!",encouragement
"Believe in yourself.",encouragement
"You are capable of amazing things.",encouragement
"Don't give up.",encouragement
"You are strong.",encouragement
"You are loved.",encouragement
"You are enough.",encouragement
"You are worthy.",encouragement
"You are deserving of love and respect.",encouragement
"You are not defined by your struggles.",encouragement
"Your feedback is valuable to me.",feedback
"I appreciate your honesty.",feedback
"Your input is important to me.",feedback
"I'm glad you shared your thoughts with me.",feedback
"Your feedback helps me grow.",feedback
"I'm grateful for your feedback.",feedback
"Your feedback is helpful.",feedback
"I appreciate your feedback.",feedback
"Your feedback is valuable.",feedback
"I'm thankful for your feedback.",feedback
"It was great talking to you.",goodbye
"Take care of yourself.",goodbye
"Have a great day.",goodbye
"Good luck with everything.",goodbye
"Stay in touch.",goodbye
"It was nice chatting with you.",goodbye
"I'll talk to you soon.",goodbye
"Take care.",goodbye
"Have a great week.",goodbye
"Goodbye for now.",goodbye
"Thank you for your kindness.",gratitude
"I appreciate your help.",gratitude
"You are a blessing.",gratitude
"I'm grateful for your support.",gratitude
"Thank you for being there for me.",gratitude
"I'm thankful for your friendship.",gratitude
"You are a wonderful person.",gratitude
"I appreciate your generosity.",gratitude
"Thank you for your love and support.",gratitude
"I'm grateful for your presence in my life.",gratitude
"Let me help you.",help
"I'm here to assist you.",help
"What do you need help with?",help
"I'm happy to help.",help
"How can I assist you?",help
"I'm here to support you.",help
"What's on your mind?",help
"I'm here to listen.",help
"How can I help you?",help
"I'm here to help you.",help
"What's on your mind?",inquiry
"How are you doing today?",inquiry
